model,ID,kraken_present,cv_fold,logp
ucb_lcb_n,232.0,0.0,0.0,-24.514039874076843
ucb_lcb_n,233.0,0.0,0.0,-40.2794479355216
ucb_lcb_n,234.0,0.0,0.0,-76.80346584320068
ucb_lcb_n,236.0,0.0,0.0,-33.45129656791687
ucb_lcb_n,237.0,0.0,0.0,-28.185674488544464
ucb_lcb_n,239.0,0.0,0.0,-48.52492642402649
ucb_lcb_n,240.0,0.0,0.0,-17.104418635368347
ucb_lcb_n,241.0,0.0,0.0,-23.352656483650208
ucb_lcb_n,242.0,0.0,0.0,-19.023527562618256
ucb_lcb_n,243.0,0.0,0.0,-40.38714301586151
ucb_lcb_n,244.0,0.0,0.0,-26.53047513961792
ucb_lcb_n,245.0,0.0,0.0,-19.648790806531906
ucb_lcb_n,246.0,0.0,0.0,-16.642991214990616
ucb_lcb_n,247.0,0.0,0.0,-37.78575770556927
ucb_lcb_n,248.0,0.0,0.0,-30.19383215904236
ucb_lcb_n,249.0,0.0,0.0,-33.834707617759705
ucb_lcb_n,250.0,0.0,0.0,-45.347769260406494
ucb_lcb_n,252.0,0.0,0.0,-18.01173096895218
ucb_lcb_n,253.0,0.0,0.0,-38.88012933731079
ucb_lcb_n,254.0,0.0,0.0,-31.660082399845123
ucb_lcb_n,255.0,0.0,0.0,-33.68164825439453
ucb_lcb_n,257.0,0.0,0.0,-33.942062854766846
ucb_lcb_n,258.0,0.0,0.0,-32.08054208755493
ucb_lcb_n,259.0,0.0,0.0,-35.20375919342041
ucb_lcb_n,260.0,0.0,0.0,-35.27499222755432
ucb_lcb_n,261.0,0.0,0.0,0.0
ucb_lcb_n,262.0,0.0,0.0,-52.62600575387478
ucb_lcb_n,263.0,0.0,0.0,-21.225208640098572
ucb_lcb_n,264.0,0.0,0.0,-53.11317014694214
ucb_lcb_n,266.0,0.0,0.0,-42.30040442943573
ucb_lcb_n,267.0,0.0,0.0,-11.647657111287117
ucb_lcb_n,268.0,0.0,0.0,-45.98118604719639
ucb_lcb_n,269.0,0.0,0.0,-38.371408343315125
ucb_lcb_n,270.0,0.0,0.0,-15.23290941119194
ucb_lcb_n,271.0,0.0,0.0,-26.323508620262146
ucb_lcb_n,272.0,0.0,0.0,-12.63534315675497
ucb_lcb_n,273.0,0.0,0.0,-16.760193526744843
ucb_lcb_n,274.0,0.0,0.0,-31.066774129867554
ucb_lcb_n,275.0,0.0,0.0,-27.076932802796364
ucb_lcb_n,276.0,0.0,0.0,-31.803468108177185
ucb_lcb_n,277.0,0.0,0.0,-32.934394418261945
ucb_lcb_n,278.0,0.0,0.0,-46.09932255744934
